ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
100410,"the largest ""seed"" of any plant is that of the",coconut,,,,,,,,,
100411,the largest bone in the human body,femur,,,,,,,,,
100412,the largest internal organ of the human body is,liver,,,,,,,,,
100413,the largest nerve in our body,sciatic,,,,,,,,,
100414,the largest organ of the human body is the,skin,,,,,,,,,
100415,the largest plane every built and flown by howard hughes,spruce goose,,,,,,,,,
100416,the larygngeal cords are also known as,voice box,,,,,,,,,
100417,"the last word in the bible, in revelations",amen,,,,,,,,,
100418,the latin qed spells out in full as,quod erat demonstrandum,,,,,,,,,
100419,the little bit of flesh at the back of the roof of your mouth,uvula,,,,,,,,,
100420,the longest pregnancy of any mammal is,elephant,,,,,,,,,
100421,the lowest string on a violin is in which key,g major,,,,,,,,,
100422,the main us army tank of the second world war,sherman,,,,,,,,,
100423,the mona lisa is also known by the original name of,la gioconda,,,,,,,,,
100424,the muscles of the heart are called the ____,myocardium,,,,,,,,,
100425,the music for advertisements is also called a _____,jingle,,,,,,,,,
100426,the name of the underworld in greek mythology,tartarus,,,,,,,,,
100427,the old hindu practice of burning alive a widow is called,suttee,,,,,,,,,
100428,the period immediately preceding the invasion of poland is often called,the phoney war,,,,,,,,,
100429,the pied piper played his music at this town,hamelin,,,,,,,,,
100430,the principle of uncertainty is also known as ___,heisenberg principle,,,,,,,,,
100431,the process of making cow's milk safe for consumption is,pasteurization,,,,,,,,,
100432,the prophet mohammed's flight in the quran is called,hijrah,,,,,,,,,
100433,the quality of quartz that allows digital timing of clocks,piezoelectric,,,,,,,,,
100434,the scent of sex in an animal is called,pheromones,,,,,,,,,
100435,the small endocrine glands situated just above the kidneys,adrenals,,,,,,,,,
100436,the study of angles and their properties is called,trigonometry,,,,,,,,,
100437,"the temperature of ""absolute zero"" is measured in which scale",kelvin,,,,,,,,,
100438,the white of our eyes is also called,sclera,,,,,,,,,
100439,"traditionally, the engagement ring mounted what type of stone",birthstone,,,,,,,,,
100440,vientiane is the capital of,laos,,,,,,,,,
100441,vsop stands for,very special old pale,,,,,,,,,
100442,welsh rabbit is a food made from,bread,,,,,,,,,
100443,what gives water its unusual properties,hydrogen bonds,,,,,,,,,
100444,what has only one surface,mobius band,,,,,,,,,
100445,what is it that you kiss to bring you the gift of the gab,blarney stone,,,,,,,,,
100446,where would one find the islands of langerhans,pancreas,,,,,,,,,
100447,which animal survives only on eucalyptus leaves,koala,,,,,,,,,
100448,which book is the story of moses to be found,exodus,,,,,,,,,
100449,which country is denominated by the initials za,south africa,,,,,,,,,
100450,which greek figure carried the world on his shoulders,atlas,,,,,,,,,
100451,which knight of the round table guarded the holy grail,sir perceval,,,,,,,,,
100452,who brought fire to man in greek mythology,prometheus,,,,,,,,,
100453,who flew too close to the sun and had his wings melted,icarus,,,,,,,,,
100454,who played lando calrissian in the empire strikes back,billy dee williams,,,,,,,,,
100455,who shot achilles' in the heel,paris,,,,,,,,,
100456,who was supreme commander of the allies,dwight eisenhower,,,,,,,,,
100457,"who wrote the ""messiah""",handel,,,,,,,,,
100458,"who wrote the song, ""unchained melody""",alex north and hy zaret,,,,,,,,,
100459,wife and sister of zeus,hera,,,,,,,,,
100460,"zeus' father, cronus, was also known to the romans as",saturn,,,,,,,,,
100461,"fear of sunlight & garlic, and having a need to constantly consume blood products are the sufferers of this disease, which gave birth to the notion of vampires",porphyria,,,,,,,,,
100462,"multiple f-1 grand prix championship winner, survivor of a horrific f-1 crash and owner of his own airline is this personality",nikki lauda,,,,,,,,,
100463,a cross-head screwdriver is also known as,phillips screwdriver,,,,,,,,,
100464,a spanish bullfighter is also known as,toreador,,,,,,,,,
100465,light energy can be described in these two terms,photons waves,"photon, waves",,,,,,,,
100466,sound travels fastest in which form of medium,solid,,,,,,,,,
100467,"in a standard digital telephone, which button also denotes the letters mno",six,6,,,,,,,,
100468,what is the name of this sign '&',ampersand,,,,,,,,,
100469,the name of the ill fated space shuttle that exploded shortly after lift off,challenger,,,,,,,,,
100470,"judge dredd, future law enforcer, judges over which city",megacity one,,,,,,,,,
100471,who has a record 5 wins in f-1 racing,juan manuel fangio,,,,,,,,,
100472,"who has the most wins in 500cc grand prix racing, with 8 wins",giacomo agostini,,,,,,,,,
100473,"at the f-1 grand prix race which killed aryton senna, which other driver suffered the same cruel fate",ratzenberger,,,,,,,,,
100474,the top ranking title in sumo wrestling is known as,yokozuna,,,,,,,,,
100475,"what are the 3 types of swords used in olympic fencing (in alphabetical order, no commas)",epee foil sabre,,,,,,,,,
100476,who was the only undefeated heavyweight boxer,rocky marciano,,,,,,,,,
100477,how many victories did rocky marciano score in his professional career,49,,,,,,,,,
100478,to which country did america lose the coveted america's cup in 1995,new zealand,,,,,,,,,
100479,two men who share a record number of swimming gold medals (11) are,mark spitz and matt biondi,,,,,,,,,
100480,the biological clock is also known as,circadian rhythm,,,,,,,,,
100481,the pinnacle trophy of the sport of badminton is known as the,thomas cup,,,,,,,,,
100482,the game pelota vasca is also known as,jai alai,,,,,,,,,
100483,"aussie rules, a game popular in australia, is also played in a similar form in ireland, known as",gaelic football,,,,,,,,,
100484,"who was the first man to achieve the grand slam of tennis, twice",rod laver,,,,,,,,,
100485,"in cricket, an over bowled with no runs scored is called a ____ over",maiden,,,,,,,,,
100486,the nba record of 100 points by a single person in a game was scored by,wilt chamberlain,,,,,,,,,
100487,world cup (soccer): most goals scored (13) in the 1958 cup was by,just fontaine,,,,,,,,,
100488,athletics: who won a consecutive 122 races at 400m hurdles between 1977 û 1987,edwin moses,,,,,,,,,
100489,the largest land lizards known are,komodo dragons,,,,,,,,,
100490,the name of the aztec/toltec god meaning flying serpent,quetzalcoatl,,,,,,,,,
100491,the staple food of blue whales,krill or plankton,,,,,,,,,
100492,name of the first cloned sheep,dolly,,,,,,,,,
100493,the longest living land mammal is,homo sapiens,,,,,,,,,
100494,the largest tree in the world is nicknamed,general sherman,,,,,,,,,
100495,the scale used to measure the magnitude of earthquakes,richter,,,,,,,,,
100496,name of the highest volcano in the world,cerro aconcagua,,,,,,,,,
100497,"the heaviest tank ever to see action in world war ii, weighing in at 68 tons",koenigstiger,,,,,,,,,
100498,the science of creating super micro miniaturizations of objects is called,nanotechnology,,,,,,,,,
100499,the royal house of the netherlands is,house of orange,,,,,,,,,
100500,"feminine form of the masculine ""orator""",oratrix,,,,,,,,,
100501,the largest artificial lake in the world is,lake volta,,,,,,,,,
100502,what is the most common element in the universe,hydrogen,,,,,,,,,
100503,lowest melting point of any metal,mercury,,,,,,,,,
100504,mercury is also known by its vernacular name of,quicksilver,,,,,,,,,
100505,what unit is magnetic field strength measured in,tesla,,,,,,,,,
100506,highest melting point of any metal,tungsten,,,,,,,,,
100507,who calls the moslem faithful to prayer,muezzin,,,,,,,,,
100508,"the old airport of hong kong, kai tek, was replaced by",chek lap kok,,,,,,,,,
100509,"at present, the tallest (twin) tower office block in the world is",petronas towers,,,,,,,,,
100510,generally acknowledged to be the most prolific painter of modern times,pablo picasso,,,,,,,,,
100511,tom hanks won his 2 oscars for best actor in,philadelphia and forrest gump,,,,,,,,,
100512,dustin hoffman won his 2 oscars for best actor in,rainman and kramer vs kramer,,,,,,,,,
100513,name of the german ww2 military code,enigma,,,,,,,,,
100514,the name of the ibm computer that sent gary kasparov into deep despair,deep blue,,,,,,,,,
100515,egyptian and ethiopian christians are called,coptic christians,,,,,,,,,
100516,"authored ""gone with the wind""",margaret mitchell,,,,,,,,,
100517,the highest tv audience of nearly 140 million viewers was achieved for which broadcast,superbowl xxx,,,,,,,,,
100518,"the hippocampus, amyglada and mammary bodies are",parts of the brain,,,,,,,,,
100519,the ashes is played between which 2 countries (alphabetical order),australia england,,,,,,,,,
100520,"in 1415 ad, henry v was crowned the ruler of france after this battle",battle of agincourt,,,,,,,,,
100521,country: land of the thousand lakes,finland,,,,,,,,,
100522,country: roof at the top of the world,tibet,,,,,,,,,
100523,the name of japan's parliament,diet,,,,,,,,,
100524,the name of iran's parliament,majlis,,,,,,,,,
100525,the name of israel's parliament,knesset,,,,,,,,,
100526,what color is the milk of a tibetian yak,pink,,,,,,,,,
100527,capital of scotland,edinburgh,,,,,,,,,
100528,abbreviations: cricket's lbw:,leg before wicket,,,,,,,,,
100529,abbreviations: unicef:,united nations international children's emergency fund,,,,,,,,,
100530,macau will be reverted to chinese control after being under which country's rule,portugal,,,,,,,,,
100531,how many horsemen where there of the apocalypse,four,,,,,,,,,
100532,what is the only planet with moons not named for roman mythology,uranus,,,,,,,,,
100533,what is found in abundance in the north sea,oil,,,,,,,,,
100534,robin hood was also known as,robin of loxley,,,,,,,,,
100535,"from freya, the queen of the nordic gods, came this term describing a noble lady",fraulein,,,,,,,,,
100536,what element's properties are atomic clocks based on,caesium,,,,,,,,,
100537,what ancient hunting weapon did the aborigines of australia employ,boomerang,,,,,,,,,
100538,slayer of the gorgon & the kraken and husband of andromeda,perseus,,,,,,,,,
100539,which country only introduced telephones in 1983,bhutan,,,,,,,,,
100540,what fairy tale character from enid blyton's books was termed offensive to the blacks,gollywog,,,,,,,,,
100541,"""great teacher"", the title bestowed upon buddha, is also formally called",gautama,,,,,,,,,
100542,the kriegsmarine was which branch of nazi germany's armed forces,navy,,,,,,,,,
100543,"the german equivalent to the us ""bazooka"" in ww2 is called",panzerfaust,,,,,,,,,
100544,what is it that's inside a barrel of a gun that allows a straighter flight of a bullet,rifling,,,,,,,,,
100545,"the vagus nerve, one of the major nerves of our body, gets its name from the latin meaning",the wanderer,,,,,,,,,
100546,spell out: quasar,quasi stellar object,,,,,,,,,
100547,an inhabitant of quebec is called,quebecois,,,,,,,,,
100548,monetary unit of guatemala and bird by the same name,quetzal,,,,,,,,,
100549,what were the original rules of conduct in boxing called,queensberry rules,,,,,,,,,
100550,discoverer of penicillin,alexander flemming,,,,,,,,,
100551,ortho- and recto- in latin both mean,straight,,,,,,,,,
100552,"the most famous german ""pocket battleship"" of ww2, scuttled in the end at montevideo was named after",admiral graf spree,,,,,,,,,
100553,who succeeded hitler as fuhrer of nazi germany,karl doenitz,,,,,,,,,
100554,what is the most powerful animal symbol of chinese mythology,dragon,,,,,,,,,
100555,the name for a person who's forever claiming to be suffering from one illness to another is,hypochondriac,,,,,,,,,
100556,a kingfisher is also known to the ancient greeks as a,halcyon,,,,,,,,,
100557,who is the tiger of malaya,tomoyuki yamashita,,,,,,,,,
100558,who surrendered singapore to the british after the japanese surrender,s,,,,,,,,,
100559,who was the first president of singapore,enche yusof bin ishak,,,,,,,,,
100560,on what date was singapore admitted to the un general assembly,september 21 1965,,,,,,,,,
100561,who was the first prime minister of singapore,lee kuan yew,,,,,,,,,
100562,who was the first resident of singapore,major william farquhar,,,,,,,,,
100563,which road is the main shopping area in singapore,orchard road,,,,,,,,,
100564,singapore was a colony of which european power,britain,,,,,,,,,
100565,which three states form the straits settlement,malacca penang singapore,,,,,,,,,
100566,what is present day sentosa formally known as,pulau blankang mati,,,,,,,,,
100567,in what event did singapore win a silver medal in the olympics,weightlifting,,,,,,,,,
100568,what is the legalised betting system on soccer named,score,,,,,,,,,
100569,what popular violin player was born in singapore,vanessa mae,,,,,,,,,
100570,what is the national airline of singapore,singapore airlines,,,,,,,,,
100571,when did singapore last play in the malaysia cup,1994,,,,,,,,,
100572,who is known as 'mr perfect' in singapore bowling,jack wong,,,,,,,,,
100573,which is the highest hill in singapore,timah hill,,,,,,,,,
100574,which president of singapore suffers from cancer,ong teng cheong,,,,,,,,,
100575,who wrote 'sleepers',lorenzo carcaterra,,,,,,,,,
